"3841","MARINE 85","161.87500","157.27500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3842","MARINE 86","161.92500","157.32500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3843","MARINE 87","161.97500","157.37500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3844","MARINE 88","162.02500","157.42500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3845","MARINE 01A","156.05000","156.05000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3846","MARINE 05A","156.25000","156.25000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3847","MARINE 07A","156.35000","156.35000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3848","MARINE 18A","156.90000","156.90000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3849","MARINE 19A","156.95000","156.95000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3850","MARINE 20A","157.00000","157.00000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3851","MARINE 21A","157.05000","157.05000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3852","MARINE 22A","157.10000","157.10000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3853","MARINE 23A","157.15000","157.15000","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3854","MARINE 63A","156.17500","156.17500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3855","MARINE 65A","156.27500","156.27500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3856","MARINE 66A","156.32500","156.32500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3857","MARINE 78A","156.92500","156.92500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3858","MARINE 79A","156.97500","156.97500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3859","MARINE 80A","157.02500","157.02500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3860","MARINE 81A","157.07500","157.07500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3861","MARINE 82A","157.12500","157.12500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3862","MARINE 83A","157.17500","157.17500","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3863","PMR EUR CH01","446.00625","446.00625","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3864","PMR EUR CH02","446.01875","446.01875","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3865","PMR EUR CH03","446.03125","446.03125","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3866","PMR EUR CH04","446.04375","446.04375","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
"3867","PMR EUR CH05","446.05625","446.05625","A-Analog","High","12.5K","Off","Off","202","Group Call","202","SV1RVP","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0"
